CAMIS,DBA,ZIPCODE,CUISINE_DESCRIPTION,INSPECTION_DATE,SCORE,Latitude,Longitude,GRADE
41443815,DOWNTOWN GALWAY HOOKER,10014,Irish,9/27/2022,17,40.7345653,-74.00224439,B
41443837,NEIR'S TAVERN,11421,American,10/6/2022,25,40.69023835,-73.86347947,B
41444147,NATIONAL RESTAURANT & COFFEE SHOP,10468,American,4/7/2022,12,40.87320669,-73.8891838,A
41444157,MAMMA ROSA'S,10469,Sandwiches,8/26/2021,12,40.86549319,-73.85844711,A
41444287,POP'S RESTAURANT,11224,American,7/26/2021,16,40.57913829,-73.98332523,B
41444287,POP'S RESTAURANT,11224,American,2/2/2022,7,40.57913829,-73.98332523,A
41444287,POP'S RESTAURANT,11224,American,6/15/2022,19,40.57913829,-73.98332523,B
41444291,THINK COFFEE,10003,Coffee/Tea,3/2/2022,10,40.73310741,-73.98994379,A
41444302,"ROCKWOOD MUSIC HALL: Stage 2, Stage 3",10002,American,3/9/2022,5,40.72224079,-73.98889921,A
41444322,LOUIE'S PIZZERIA,11373,Pizza,9/19/2022,12,40.74611114,-73.88360002,A
41444651,TRIONA'S,10012,Irish,3/30/2022,8,40.72974277,-73.99961394,A
41444679,FOO HING KITCHEN,10454,Chinese,8/17/2022,26,40.80729174,-73.91864388,B
41444809,"PRINT RESTAURANT, PRESS LOUNGE/BANQUET KITCHEN",10036,American,7/28/2022,10,40.76431022,-73.99578357,A
41444866,PIES-N-THIGHS,11211,American,1/3/2022,31,40.71128866,-73.96129972,C
41444866,PIES-N-THIGHS,11211,American,3/24/2022,9,40.71128866,-73.96129972,A
41444899,CASA ASIA,11357,Chinese/Japanese,3/30/2022,11,40.78853475,-73.81505211,A
41445485,OCCASIONS BANQUET AND CATERING HALL,11434,American,8/3/2022,5,40.68131462,-73.7649716,A
41445602,FLOR DE MAYO,10024,Latin American,5/12/2022,38,40.78593652,-73.97630014,C
41445602,FLOR DE MAYO,10024,Latin American,5/24/2022,12,40.78593652,-73.97630014,A
41445662,EL ABUELO GOZON,11372,Latin American,8/10/2022,12,40.74736023,-73.88656446,A
41445835,SAM WON GAHK,11354,Korean,5/16/2022,73,40.76468986,-73.82302445,C
41446057,ROBERT,10019,American,3/30/2022,7,40.76769316,-73.98195653,A
41446106,DUNKIN,10454,Donuts,9/9/2021,49,40.80520001,-73.91093805,C
41446106,DUNKIN,10454,Donuts,1/31/2022,0,40.80520001,-73.91093805,A
41446174,L.I.E. HOT BAGEL,11364,Bagels/Pretzels,8/27/2021,27,40.74642911,-73.76636505,B
41446174,L.I.E. HOT BAGEL,11364,Bagels/Pretzels,2/4/2022,12,40.74642911,-73.76636505,A
41446174,L.I.E. HOT BAGEL,11364,Bagels/Pretzels,8/29/2022,24,40.74642911,-73.76636505,B
41446753,TASTY GRILL,11357,Greek,8/6/2021,33,40.78824969,-73.81360118,C
41446753,TASTY GRILL,11357,Greek,2/1/2022,18,40.78824969,-73.81360118,B
41447492,JIMBO'S HAMBURGER PALACE,10459,Hamburgers,3/7/2022,23,40.82098524,-73.89197004,B
41447522,FLATBUSH LATIN GRILL,11226,Latin American,3/30/2022,2,40.64982239,-73.96198779,A
41447792,FRESH & CO,10001,American,9/3/2021,13,40.74860178,-73.99234871,A
41447792,FRESH & CO,10001,American,8/22/2022,25,40.74860178,-73.99234871,B
41447792,FRESH & CO,10001,American,9/1/2022,13,40.74860178,-73.99234871,A
41447825,CHEEKY SANDWICHES,10002,Sandwiches,8/16/2022,17,40.71573591,-73.9914651,B
41447825,CHEEKY SANDWICHES,10002,Sandwiches,8/30/2022,29,40.71573591,-73.9914651,C
41447856,WILD,10014,Italian,1/26/2022,27,40.73453771,-74.00617386,B
41447856,WILD,10014,Italian,3/1/2022,13,40.73453771,-74.00617386,A
41447862,KINGSBRIDGE COFFEE SHOP,10468,Sandwiches,9/7/2021,8,40.86729352,-73.89694186,A
41447901,YUMMY TACO,11201,Tex-Mex,3/29/2022,10,40.69219905,-73.98678749,A
41448021,PIER 76,10301,Italian,5/17/2022,29,40.64028483,-74.07562797,C
41448381,ACCRA RESTAURANT,10453,African,5/4/2022,42,40.85385684,-73.90846878,C
41448381,ACCRA RESTAURANT,10453,African,5/9/2022,11,40.85385684,-73.90846878,A
41448576,PYRAMID COFFEE COMPANY,10021,Coffee/Tea,8/12/2021,12,40.76520406,-73.95388582,A
41448603,TOMO JAPANESE RESTAURANT,11237,Japanese,4/28/2022,22,40.70459248,-73.92906686,B
41448651,AMITY HALL,10012,American,3/23/2022,7,40.72975649,-73.99878408,A
41448719,GOLDMAN SACHS,10282,American,4/1/2022,13,40.71383876,-74.01381201,A
41449122,TABARE,11211,Latin American,3/31/2022,19,40.71295671,-73.95909477,B
41449143,GREEN FITNESS STUDIO,11206,"Juice, Smoothies, Fruit Salads",4/18/2022,12,40.7040356,-73.93419254,A
41449148,TAZ CAFE,10005,American,3/31/2022,9,40.70663974,-74.00847603,A
41449335,SUBWAY,11207,Sandwiches,12/16/2021,6,40.68365156,-73.91176444,A
41449421,LA GITANA PANADERIA - RESTAURANTE,11421,Latin American,3/29/2022,12,40.69286776,-73.85447691,A
41449514,PURPLE YAM,11226,Asian/Asian Fusion,6/22/2022,60,40.64051608,-73.96594946,C
41449587,CASK BAR & KITCHEN,10016,American,4/20/2022,14,40.74541902,-73.97945799,B
