CAMIS,ZIPCODE,INSPECTION_DATE,SCORE,GRADE
50038958,10014,12/6/2017,10,A
40928943,11235,4/21/2022,56,C
50050140,11361,12/19/2019,22,B
50003214,10002,7/7/2022,50,C
40399834,10016,12/4/2017,0,A
50002488,10014,4/19/2017,17,B
50078728,11201,1/13/2020,8,A
50107906,10028,6/14/2022,47,C
50065986,11236,5/13/2022,12,A
50044578,11235,6/12/2019,20,B
41529148,10013,12/21/2017,52,C
50046597,10024,7/16/2019,21,B
50105697,10035,2/4/2022,34,C
50055631,10022,11/26/2019,13,A
41148810,10032,7/31/2019,47,C
50064538,11368,2/3/2022,0,A
50036053,11368,12/7/2019,67,C
50116142,11210,12/3/2021,8,A
50110529,11213,11/22/2021,43,C
50113211,10065,5/25/2022,5,A
41567810,11226,3/29/2019,12,A
50097018,10111,8/10/2022,33,C
50104604,11201,8/31/2021,43,C
50073108,11417,4/1/2022,44,C
50112015,11434,10/5/2022,50,C
50095043,10016,2/19/2020,40,C
50049573,11211,9/28/2022,18,B
50088692,10454,3/19/2019,2,A
50093640,11377,4/1/2022,9,A
50111808,11201,10/21/2022,13,A
50111234,11370,2/8/2022,39,C
50079292,11435,3/10/2020,16,B
41508258,10303,9/18/2019,45,C
41699269,10038,2/3/2022,10,A
41168585,11419,9/30/2017,22,B
41308287,11231,11/18/2016,12,A
41710633,10018,4/5/2019,10,A
41576328,11226,11/25/2019,11,A
50113153,10019,5/11/2022,0,A
50125883,10018,9/14/2022,13,A
50088123,11207,4/12/2022,2,A
40783903,10011,2/14/2020,9,A
50074363,11237,10/4/2019,5,A
41456053,11372,4/17/2019,20,B
50066323,10466,4/8/2019,11,A
50094566,10012,11/19/2019,13,A
41060830,11377,2/3/2020,20,B
50087697,11103,4/14/2022,37,C
50047067,11249,12/9/2021,4,A
41665001,11216,3/1/2022,22,B
50116825,11203,8/16/2022,63,C
50059803,11379,11/3/2017,23,B
50101469,10460,4/5/2022,13,A
50118145,10036,6/14/2022,57,C
