CAMIS,Image
50033431,Contamination
41602484,Rats
41525131,Flies
50060268,Rats
41008857,Temperature
40378035,Contamination
40550155,Temperature
40398688,Contamination
50017852,Sanitation
41720066,Contamination
50018834,Contamination
50045201,Contamination
50032812,Contamination
50096222,Contamination
50100914,Contamination
50006419,Rats
40398910,Contamination
50037517,Temperature
50098480,Contamination
50080893,Contamination
40372426,Rats
50017190,Contamination
50034716,Rats
50095135,Temperature
41513849,Temperature
50049260,Temperature
50049997,Contamination
50093239,Contamination
50043976,Contamination
40906355,Temperature
50007973,Contamination
40719557,Temperature
50081134,Contamination
50108308,Flies
41428195,Contamination
41360467,Contamination
50100293,Contamination
50047275,Contamination
50085082,Contamination
40941224,Contamination
40734589,Contamination
41243023,Temperature
41390818,Rats
40606331,Contamination
41174270,Contamination
50087979,Flies
50099719,Contamination
41616179,Rats
50004836,Roach
50118796,Rats
50104019,Temperature
40378571,Contamination
41233476,Rats
50102007,Contamination
40389356,Temperature
50116940,Temperature
41100434,Temperature
50127641,Contamination
50075764,Contamination
50075248,Temperature
50092693,Temperature
50009228,Contamination
40818118,Contamination
40383737,Contamination
41232504,Contamination
41532937,Temperature
41686771,Rats
50089246,Contamination
50073862,Rats
50072907,Temperature
40370015,Temperature
50087594,Quality
50113015,Contamination
50035434,Rats
40934594,Rats
50065887,Others
50051766,Contamination
50048250,Temperature
41122841,Rats
41424918,Contamination
50001324,Contamination
50089274,Contamination
50014272,Contamination
50100331,Contamination
50108684,Sanitation
40932664,Contamination
50002588,Others
50051739,Contamination
50077964,Sanitation
50055004,Contamination
50118265,Contamination
50009127,Temperature
50054749,Contamination
50111580,Sanitation
41185792,Temperature
41171181,Contamination
50073616,Contamination
50103793,Contamination
50040417,Sanitation
50073585,Temperature
50064825,Rats
40911611,Temperature
40880194,Contamination
40364443,Temperature
50060589,Contamination
40425029,Contamination
41542461,Contamination
50059415,Temperature
41615281,Rats
40367534,Contamination
41316692,Contamination
50075273,Temperature
50056699,Contamination
41150371,Rats
41561546,Sanitation
50006339,Contamination
50066644,Temperature
50114438,Flies
50054857,Contamination
41227319,Contamination
41465611,Temperature
40400539,Contamination
50005498,Temperature
41713457,Rats
50057006,Rats
50097037,Contamination
40709941,Flies
41646195,Contamination
50099478,Contamination
50087359,Contamination
40987564,Contamination
50110138,Quality
50099645,Sanitation
50085019,Contamination
40545454,Contamination
50044107,Contamination
50095191,Contamination
50106780,Contamination
50080597,Contamination
50012277,Contamination
50094133,Sanitation
50046314,Temperature
41356229,Rats
41240624,Contamination
50112918,Contamination
40372445,Contamination
50034610,Rats
50096379,Quality
50070931,Rats
40592207,Contamination
50086844,Contamination
50106083,Contamination
50057206,Contamination
41319055,Contamination
41630104,Contamination
50017582,Temperature
50102671,Contamination
50066229,Contamination
40946406,Rats
50069802,Rats
50102768,Sanitation
50072260,Rats
50032677,Contamination
41391483,Roach
50057386,Contamination
50107792,Flies
50007157,Temperature
40397189,Contamination
41312436,Rats
50053144,Rats
41679646,Rats
50003712,Roach
41268058,Contamination
50089961,Quality
40635976,Temperature
50094372,Rats
50081233,Rats
50000711,Contamination
50045201,Sanitation
50083659,Contamination
41615714,Contamination
41091944,Rats
41651295,Contamination
50057674,Rats
50087485,Contamination
41197199,Contamination
50054788,Contamination
41258669,Flies
50116177,Contamination
50088489,Quality
41386156,Contamination
50050991,Temperature
50043385,Flies
40395343,Rats
50050498,Temperature
40557912,Rats
50112010,Sanitation
50106117,Contamination
41593751,Temperature
50057270,Flies
41647210,Temperature
41347936,Contamination
40759928,Temperature
41024987,Rats
50048224,Contamination
50004817,Rats
50097277,Contamination
50057985,Others
50072306,Temperature
40399372,Rats
40536785,Contamination
41163308,Contamination
50094262,Flies
41692971,Rats
40375929,Temperature
41551354,Contamination
41331750,Temperature
41710693,Temperature
50126673,Rats
41574266,Flies
50095290,Temperature
50073031,Contamination
40948401,Quality
41257059,Contamination
50102325,Sanitation
50070514,Rats
41616073,Contamination
41283831,Contamination
50076950,Contamination
40401742,Contamination
50018652,Contamination
41615913,Contamination
40871961,Contamination
50087866,Quality
50077727,Contamination
50105468,Rats
50105572,Contamination
50109166,Contamination
50059999,Temperature
50098718,Temperature
41700337,Contamination
50105728,Contamination
50074176,Contamination
41454233,Contamination
50066319,Rats
40825993,Contamination
41648183,Flies
50094035,Rats
50094984,Sanitation
50002228,Contamination
50072997,Flies
41407362,Rats
50103017,Contamination
50043696,Rats
50061530,Sanitation
40846477,Contamination
50075166,Quality
50010284,Temperature
41641642,Rats
50054403,Contamination
50111489,Contamination
50001471,Contamination
50055557,Contamination
50084143,Rats
41316782,Rats
50089507,Rats
41665255,Flies
50069033,Temperature
50049522,Sanitation
41405042,Rats
50115485,Contamination
50056900,Contamination
50035431,Contamination
50105113,Contamination
41228760,Rats
50073830,Contamination
50004710,Quality
50066944,Contamination
50084991,Rats
50032750,Flies
50107981,Contamination
50120023,Temperature
50123805,Contamination
50049744,Contamination
50107470,Contamination
50108152,Rats
50036454,Rats
50083936,Contamination
50092799,Contamination
50073669,Sanitation
41551369,Temperature
40570775,Flies
50058350,Contamination
50088630,Rats
50017631,Contamination
41428096,Quality
50005087,Roach
41351524,Contamination
50115715,Temperature
50070543,Temperature
50099929,Contamination
40403988,Rats
50088233,Contamination
50076399,Contamination
41579193,Sanitation
50091873,Rats
50108409,Contamination
50034720,Contamination
50013922,Contamination
50084577,Rats
40401834,Sanitation
50088012,Contamination
50075519,Rats
50128134,Contamination
50109554,Contamination
40720599,Temperature
41686481,Flies
41666300,Contamination
50058712,Contamination
50001526,Contamination
41363896,Contamination
50066911,Temperature
41176558,Contamination
41675506,Contamination
41379215,Sanitation
50110703,Contamination
41693205,Rats
50091677,Rats
